Group	ROI	1H	2H	SE	Ratio_2Hx1H
red	0	46042	10618	252104	0.18739851747264383
red	1	25250	5573	128291	0.1808065405703533
red	2	31868	7653	102284	0.19364388552921233
red	3	13251	3167	39562	0.1928980387379705
red	4	15420	4004	53529	0.20613673805601318
red	5	18285	4500	60169	0.19749835418038184
red	6	32776	7070	223802	0.1774331175023842
red	7	20597	4839	82089	0.19024217644283692
red	8	14804	3613	46661	0.19617744475213117
red	9	57762	14200	166937	0.1973263666935327
red	10	33294	7996	130883	0.1936546379268588
red	11	63291	14066	242146	0.18183228408547383
red	12	55298	12493	269399	0.18428699974922924
red	13	98046	20366	577351	0.1719927034422187
red	14	62017	14469	301358	0.1891718745914285
green	0	5574	1335	32582	0.1932262266608771
green	1	36671	7625	242961	0.17213743904641501
green	2	10085	2115	69253	0.17336065573770493
green	3	10880	2399	64232	0.18066119436704572
green	4	7656	1660	53054	0.1781880635465865
green	5	17250	3580	108781	0.17186749879980798
green	6	12389	2850	80418	0.1870201456788503
green	7	22951	4328	176628	0.15865684225961363
green	8	13738	2870	127426	0.1728082851637765
